Date,MXBR,MXCA,MXCH,MXFR,MXGB,MXIN,MXJP,MXZA,TAMSCI,MXEG,BBDXY
2007-09-14,3683.2266,1949.1347,1101.9326,242.0134,4838.1215,18.0834,9.2479,130.9724,12.7308,372.5938,988.34
2007-09-21,4008.8393,2027.0294,1133.3904,253.3124,4995.7083,19.5349,9.2914,134.8549,12.922,386.9187,978.26
2007-09-28,4255.1747,2052.3968,1145.4668,256.6114,5052.8946,20.3748,9.7987,136.8102,13.4796,393.3064,969.1
2007-10-05,4448.1151,2108.8119,1154.8063,260.5339,5161.8447,21.1356,9.8427,145.2714,13.8085,401.1374,974.44
2007-10-12,4500.6848,2131.9967,1162.1175,261.6816,5244.7668,21.9431,9.813,147.2615,13.6326,407.6654,974.62
2007-10-19,4398.3496,2110.1725,1143.6384,258.1233,5123.5434,20.7827,9.6061,144.4456,13.8894,409.6168,964.68
2007-10-26,4739.8403,2164.3089,1154.9415,262.8846,5228.0576,22.8742,9.5763,154.7567,14.044,418.5268,959.46
2007-11-02,4798.3444,2247.0428,1139.911,261.5014,5230.0596,23.8891,9.6718,152.2614,13.5397,441.124,952.64
2007-11-09,4901.1932,2159.7989,1124.2209,254.7504,5056.1782,22.7907,9.3417,153.09,13.2472,423.956,942.72
2007-11-16,4885.1677,2033.246,1137.9631,254.847,4950.8749,23.7129,9.1881,147.6261,12.7981,431.5282,949.13
2007-11-23,4486.4501,2000.0672,1133.3478,257.4459,4952.0306,22.6405,9.1948,142.9289,12.2323,441.8033,941.46
2007-11-30,4689.1581,1998.1418,1169.9595,262.5195,5066.3171,23.3256,9.5673,143.7276,12.629,443.6807,952.99
2007-12-07,4935.3471,2017.6101,1163.7509,263.8445,5079.3213,24.3836,9.6803,146.7091,12.8088,467.4977,954.82
2007-12-14,4675.2441,1970.9737,1125.6543,255.0015,4947.4937,24.7209,9.1617,135.6408,11.8397,465.2092,967.02
2007-12-21,4729.8295,2009.3575,1095.0945,252.9937,4880.9787,23.4528,8.9417,136.3886,11.6778,473.6257,969.78
2007-12-28,4895.0342,2070.1736,1126.3764,260.5049,4945.3101,24.9668,9.0967,142.6066,12.3072,482.838,956.81
2008-01-04,4584.5823,2020.1193,1099.1753,252.6268,4789.481,25.9014,9.0487,138.9689,11.9491,497.1565,951.49
2008-01-11,4654.8265,1969.2475,1106.6872,248.5959,4644.5804,25.7911,8.7931,135.7874,11.6194,511.5859,953.34
2008-01-18,4194.4965,1821.0536,1042.1456,233.2789,4420.6084,23.6289,8.7201,126.5165,11.8511,494.3542,955.29
2008-01-25,4260.1095,1885.991,1049.234,225.5871,4447.529,22.4224,8.7429,122.432,11.3354,460.2703,950.26
2008-02-01,4583.8086,1971.2802,1079.0553,232.6383,4554.2665,22.076,8.7181,125.8794,11.3727,475.3788,943.68
2008-02-08,4420.3548,1916.232,1009.4315,215.7888,4329.6475,20.9789,8.2851,114.476,11.3918,470.1369,954.1
2008-02-15,4611.3607,1931.638,1008.8244,221.2632,4358.2461,21.7893,8.6099,120.1269,11.7718,476.6791,949.53
2008-02-22,4980.9146,1973.4999,1028.4718,227.0061,4455.5228,20.6053,8.5841,123.8675,12.2129,499.852,944.27
2008-02-29,4963.0524,2043.0612,1084.2991,230.938,4494.992,20.96,8.8163,127.2887,12.8014,523.1151,924.69
2008-03-07,4813.6271,1977.1688,1057.2693,225.3831,4440.9808,18.6032,8.4064,122.2066,13.0457,524.437,919.38
2008-03-14,4784.6896,1984.2178,1073.6691,228.2581,4417.1304,18.4576,8.2764,125.4277,12.4426,523.7771,905.95
2008-03-28,4555.4332,1927.2643,1095.4075,235.2042,4407.4473,19.3212,8.7026,120.3198,13.1804,513.0572,908.41
2008-04-04,4937.9211,2016.6224,1132.3268,243.9022,4607.467,18.0759,8.8045,126.3006,13.2164,528.5552,911.23
2008-04-11,4906.028,1993.0634,1096.5873,240.137,4509.9306,18.648,8.8394,130.5451,13.7203,535.8366,909.96
2008-04-18,5212.6487,2109.0307,1102.4891,247.8808,4696.3464,19.6627,8.7396,132.1892,13.865,539.9288,911.87
2008-04-25,5185.5164,2076.0937,1105.0876,247.3241,4691.9068,20.2269,8.9915,131.4709,13.7314,552.6135,920.01
2008-05-02,5528.5145,2100.1213,1112.304,249.0115,4771.1057,20.5949,9.1635,132.2473,13.7364,557.2933,927.13
2008-05-09,5476.4331,2159.5658,1102.3578,246.0829,4714.6587,19.0807,9.1033,136.744,13.2682,540.9733,922.27
2008-05-16,5896.3098,2255.2374,1124.158,255.1651,4811.6932,19.4527,9.3857,142.3037,14.0099,477.4734,919.43
2008-05-23,5799.5532,2242.9384,1121.347,252.4583,4705.8718,18.5084,9.3212,139.9726,13.4123,502.2098,910.51
2008-05-30,5897.2066,2224.9476,1105.2863,254.2579,4668.7646,18.3826,9.3217,136.3702,13.2588,521.0286,918.7
2008-06-06,5681.1144,2212.981,1108.664,247.1717,4545.4625,17.1347,9.4702,131.5637,13.3695,519.662,916.22
2008-06-13,5417.9603,2162.3725,1063.7467,235.9602,4416.3687,16.6428,8.8742,123.341,12.4531,503.5537,934.62
2008-06-20,5300.5529,2156.8522,1048.0927,231.3215,4334.5703,15.9166,8.8283,119.7031,12.1646,493.0383,922.33
2008-06-27,5301.0785,2132.7551,1030.6293,227.5155,4307.3669,15.132,8.6648,123.1597,11.7105,483.2408,915.12
2008-07-11,4898.3287,2044.2197,995.1671,213.6435,4083.7866,14.7099,8.4568,118.0148,11.2758,465.3747,911.41
2008-07-18,4826.561,2024.6397,1019.7704,223.3627,4208.34,14.8478,8.176,119.4447,10.7995,461.0129,912.5
2008-07-25,4613.6262,1983.7352,1030.66,225.196,4170.5859,15.6948,8.3844,117.6976,11.3759,461.621,919.49
2008-08-01,4723.6513,1985.4511,1038.8169,220.3746,4135.4598,16.082,8.2267,121.7506,10.9527,457.2227,925.64
2008-08-08,4432.925,1886.3539,1027.7358,221.8705,4143.5034,16.7176,7.9609,115.4034,11.2444,440.9305,953.24
2008-08-15,4201.1921,1861.4819,1008.7678,215.037,4003.1917,15.9978,7.8839,115.4421,11.1871,411.5739,966.62
2008-08-22,4441.6461,1943.7975,990.2449,214.1463,4029.3623,15.5198,7.7106,116.9247,10.758,396.0099,963.33
2008-08-29,4385.0102,1953.627,1004.4068,215.6695,4043.9332,15.5023,8.0346,120.342,10.9028,414.1922,969.8
2008-09-05,3839.065,1815.1817,959.0678,196.7936,3658.5258,15.1685,7.607,109.2333,9.7066,409.7467,987.64
2008-09-12,3801.4018,1824.8817,975.4275,202.1828,3832.6618,14.2932,7.6179,108.9449,9.7132,391.3205,987.33
2008-09-19,3764.852,1872.1478,972.7925,205.0604,3855.5141,14.2243,7.4509,108.8867,9.3293,339.6718,975.33
2008-09-26,3607.4266,1781.0611,957.3407,199.2974,3700.0721,13.0544,7.5857,104.5503,9.2093,339.4627,970.28
2008-10-03,2907.9958,1519.8583,924.3348,184.0208,3498.3647,12.2453,6.9015,94.0875,8.8184,344.2888,1008.48
2008-10-10,2089.4533,1166.9924,722.4856,140.5178,2650.796,9.8369,5.8762,78.4329,7.7866,279.2606,1050.14
2008-10-17,2224.0075,1238.4681,812.4973,146.6387,2780.3791,9.272,6.0948,70.0206,7.5098,281.2539,1047.34
2008-10-24,1774.3327,1116.2873,738.4529,131.9821,2436.3719,7.9003,5.9093,57.2381,6.6607,237.8202,1094.3
2008-10-31,2292.3921,1245.406,800.6028,144.77,2799.0199,9.0505,6.1015,76.6007,7.1944,232.3126,1079.19
2008-11-07,2227.0751,1240.9227,772.0097,144.0555,2730.5351,9.4168,6.1929,69.5809,7.0019,258.966,1079.94
2008-11-14,2066.3091,1126.2894,740.9926,137.3746,2489.1046,8.6127,6.0337,70.9969,6.4503,235.8379,1097.68
2008-11-21,1645.3798,972.5107,635.0425,118.9928,2223.371,7.8957,5.7609,63.4248,5.9664,189.4968,1114.88
2008-11-28,2081.3372,1160.8064,723.8277,136.5447,2626.1088,8.0824,6.0006,75.5963,6.4205,198.8376,1096.34
2008-12-05,1750.3226,972.0414,680.7648,125.1649,2356.0174,8.0551,5.8251,67.7618,5.9823,200.7322,1104.07
2008-12-12,2169.5488,1062.2717,720.805,141.9125,2549.1679,8.9089,6.1026,75.2671,6.4652,215.0029,1071.1
2008-12-19,2163.9592,1079.3662,745.4596,148.1909,2540.9474,9.5844,6.3938,79.9047,6.9548,223.6269,1041.01
2008-12-26,2034.6598,1053.7254,765.3055,144.2148,2470.214,8.6156,6.4157,79.1914,6.4374,219.5952,1042.59
2009-01-02,2295.3679,1185.3689,779.8447,153.9285,2634.1729,9.2152,6.4596,86.1015,6.7439,233.5106,1052.54
2009-01-09,2365.6744,1187.4915,774.847,147.4149,2694.2264,8.7872,6.547,83.5636,6.5009,234.1351,1054.74
2009-01-16,2195.6006,1107.4622,735.8878,132.7797,2423.9263,8.5958,6.2154,77.3242,6.2707,217.9072,1073.35
2009-01-23,2125.9704,1076.4089,691.4049,122.4947,2213.7146,7.9002,5.9651,71.326,6.0526,190.1485,1090.63
2009-01-30,2220.298,1093.0974,690.5738,127.0664,2393.8364,8.6745,6.0604,75.2729,6.0526,192.5314,1094.85
2009-02-06,2504.4652,1136.9919,667.1624,134.2565,2541.586,8.5981,5.9208,80.8788,6.4298,169.4539,1087.93
2009-02-13,2436.4317,1084.4558,672.3952,129.1634,2414.0615,8.9269,5.731,77.0537,6.5445,182.0531,1097.67
2009-02-20,2154.2396,981.3092,634.8171,117.519,2246.2502,7.9608,5.4083,72.7542,6.1472,179.6364,1107.73
2009-02-27,2155.8483,997.2835,617.2955,115.0137,2205.7092,7.7896,5.311,70.0271,6.3076,179.3961,1129.41
